,Begin IP Address,End IP Address,Total Count
0,14.1.100.0,14.1.103.255,1024
1,23.234.206.0,23.234.206.31,32
2,23.234.233.0,23.234.233.31,32
3,23.234.237.32,23.234.237.63,32
4,23.234.253.0,23.234.253.31,32
5,27.0.96.0,27.0.127.255,8192
6,27.54.144.0,27.54.151.255,2048
7,27.131.12.0,27.131.15.255,1024
8,27.147.128.0,27.147.255.255,32768
9,31.13.154.168,31.13.154.175,8
10,36.255.52.0,36.255.55.255,1024
11,36.255.188.0,36.255.191.255,1024
12,36.255.248.0,36.255.251.255,1024
13,42.0.4.0,42.0.7.255,1024
14,43.224.108.0,43.224.119.255,3072
15,43.225.148.0,43.225.151.255,1024
16,43.225.204.0,43.225.207.255,1024
17,43.228.208.0,43.228.211.255,1024
18,43.229.12.0,43.229.15.255,1024
19,43.229.208.0,43.229.211.255,1024
20,43.230.120.0,43.230.123.255,1024
21,43.231.20.0,43.231.23.255,1024
22,43.231.76.0,43.231.79.255,1024
23,43.239.72.0,43.239.75.255,1024
24,43.240.52.0,43.240.55.255,1024
25,43.240.100.0,43.240.103.255,1024
26,43.243.132.0,43.243.135.255,1024
27,43.243.204.0,43.243.207.255,1024
28,43.245.116.0,43.245.123.255,2048
29,43.245.140.0,43.245.143.255,1024
30,43.245.192.0,43.245.195.255,1024
31,43.245.232.0,43.245.235.255,1024
32,43.245.244.0,43.245.247.255,1024
33,43.246.200.0,43.246.203.255,1024
34,43.250.80.0,43.250.83.255,1024
35,43.254.96.0,43.254.99.255,1024
36,43.255.20.0,43.255.23.255,1024
37,45.64.132.0,45.64.139.255,2048
38,45.64.164.0,45.64.167.255,1024
39,45.112.72.0,45.112.75.255,1024
40,45.113.236.0,45.113.239.255,1024
41,45.114.84.0,45.114.91.255,2048
42,45.114.180.0,45.114.183.255,1024
43,45.114.232.0,45.114.235.255,1024
44,45.115.12.0,45.115.15.255,1024
45,45.115.112.0,45.115.115.255,1024
46,45.115.224.0,45.115.227.255,1024
47,45.116.248.0,45.116.251.255,1024
48,45.117.56.0,45.117.63.255,2048
49,45.118.60.0,45.118.63.255,1024
50,45.118.68.0,45.118.71.255,1024
51,45.118.244.0,45.118.247.255,1024
52,45.119.120.0,45.119.123.255,1024
53,45.120.38.0,45.120.39.255,512
54,45.120.96.0,45.120.99.255,1024
55,45.120.112.0,45.120.115.255,1024
56,45.123.40.0,45.123.43.255,1024
57,45.124.12.0,45.124.15.255,1024
58,45.124.168.0,45.124.171.255,1024
59,45.125.220.0,45.125.223.255,1024
60,45.127.48.0,45.127.51.255,1024
61,45.127.244.0,45.127.251.255,2048
62,45.248.144.0,45.248.155.255,3072
63,45.249.104.0,45.249.107.255,1024
64,45.249.184.0,45.249.187.255,1024
65,45.250.20.0,45.250.23.255,1024
66,45.250.228.0,45.250.231.255,1024
67,45.250.252.0,45.250.255.255,1024
68,45.251.56.0,45.251.59.255,1024
69,45.251.128.0,45.251.131.255,1024
70,45.251.228.0,45.251.231.255,1024
71,45.252.52.0,45.252.59.255,2048
72,49.0.4.0,49.0.7.255,1024
73,49.0.32.0,49.0.63.255,8192
74,57.92.16.0,57.92.31.255,4096
75,58.65.224.0,58.65.231.255,2048
76,58.84.32.0,58.84.35.255,1024
77,58.97.128.0,58.97.255.255,32768
78,58.145.184.0,58.145.191.255,2048
79,58.147.168.0,58.147.175.255,2048
80,59.152.0.0,59.152.15.255,4096
81,59.152.60.0,59.152.63.255,1024
82,59.152.88.0,59.152.111.255,6144
83,59.153.16.0,59.153.19.255,1024
84,59.153.28.0,59.153.31.255,1024
85,59.153.100.0,59.153.103.255,1024
86,59.153.200.0,59.153.203.255,1024
87,61.247.176.0,61.247.191.255,4096
88,62.152.170.56,62.152.170.63,8
89,69.88.3.72,69.88.3.79,8
90,69.88.3.88,69.88.3.95,8
91,69.88.4.48,69.88.4.55,8
92,69.88.4.152,69.88.4.159,8
93,69.88.4.200,69.88.4.207,8
94,69.88.4.224,69.88.4.231,8
95,69.88.5.48,69.88.5.79,32
96,69.88.6.48,69.88.6.63,16
97,69.88.6.80,69.88.6.111,32
98,69.88.6.224,69.88.7.31,64
99,69.88.7.128,69.88.7.159,32
100,69.88.7.192,69.88.7.223,32
101,69.88.9.200,69.88.9.207,8
102,69.88.10.32,69.88.10.63,32
103,69.88.12.96,69.88.12.159,64
104,69.88.12.224,69.88.12.255,32
105,69.88.14.0,69.88.14.255,256
106,69.88.15.192,69.88.15.255,64
107,69.88.21.0,69.88.21.255,256
108,69.88.23.64,69.88.23.95,32
109,69.88.23.128,69.88.23.191,64
110,69.88.26.0,69.88.26.63,64
111,69.88.27.0,69.88.28.127,384
112,69.88.29.0,69.88.30.127,384
113,69.88.31.0,69.88.31.63,64
114,82.206.169.0,82.206.169.79,80
115,89.221.10.16,89.221.10.23,8
116,96.9.241.120,96.9.241.127,8
117,96.9.241.208,96.9.241.215,8
118,96.9.246.80,96.9.246.87,8
119,96.9.246.104,96.9.246.111,8
120,96.9.246.128,96.9.246.135,8
121,96.9.246.176,96.9.246.183,8
122,96.9.246.200,96.9.246.207,8
123,96.9.247.40,96.9.247.47,8
124,96.9.247.56,96.9.247.63,8
125,96.9.247.136,96.9.247.143,8
126,96.9.247.208,96.9.247.215,8
127,96.9.247.224,96.9.247.231,8
128,96.9.249.96,96.9.249.127,32
129,96.9.253.0,96.9.253.127,128
130,96.43.93.192,96.43.93.255,64
131,101.2.160.0,101.2.167.255,2048
132,103.3.224.0,103.3.227.255,1024
133,103.4.64.0,103.4.67.255,1024
134,103.4.108.8,103.4.108.15,8
135,103.4.108.24,103.4.108.27,4
136,103.4.108.32,103.4.108.47,16
137,103.4.108.52,103.4.108.79,28
138,103.4.108.84,103.4.108.87,4
139,103.4.108.92,103.4.108.107,16
140,103.4.108.112,103.4.108.143,32
141,103.4.108.168,103.4.108.171,4
142,103.4.108.200,103.4.108.207,8
143,103.4.109.8,103.4.109.15,8
144,103.4.109.40,103.4.109.43,4
145,103.4.109.96,103.4.109.127,32
146,103.4.109.252,103.4.109.255,4
147,103.4.110.108,103.4.110.111,4
148,103.4.110.128,103.4.110.191,64
149,103.4.111.64,103.4.111.127,64
150,103.4.116.0,103.4.119.255,1024
151,103.4.144.0,103.4.147.255,1024
152,103.5.232.0,103.5.235.255,1024
153,103.7.112.0,103.7.115.255,1024
154,103.7.248.0,103.7.251.255,1024
